fruta,porción,fibra,hierro no hem
cereza,20 piezas (88 gramos),2.1 gramos,0.4 miligramos
fresa,17 piezas medianas,4.1 gramos,0.8 miligramos
mandarina,2 pieza (128 gramos),2.3 gramos,0.4 miligramos
plátano,1/2 pieza (54 gramos),1.4 gramos,0.2 miligramos
uvas,18 piezas (86 gramos),1.1 gramos,0.2 gramos
pasas,10 piezas (20 gramos),1.4 gramos,0.5 miligramos
mango picado,1 taza,1.8 gramos,0.2 miligramos
pera,1/2 pieza (81 gramos),2.5 gramos,0.2 miligramos
piña picada,3/4 tz,1.7 gramos,0.5 miligramos
arandanos,1 1/2 taza (147 gramos),6.8 gramos,0.7 miligramos
guayaba,3 piezas (124 gramos),7.0 gramos,0.4 miligramos
melón picado,1 taza,1.4 gramos,0.3 miligramos
kiwi,1 1/2 pieza (,3.4 gramos,0.5 miligramos
zarzamora,1 taza,5.9 gramos,0.7 miligramos
naranja,2 pz (152 gramos),3.7 gramos,0.2 miligramos
papaya picada,1 taza,2.5 gramos,0.1 miligramos
sandia picada,1 taza,0.6 gramos,0.3 miligramos