Origen animal (A),porcion,Calcio,Hierro,Sodio
Atún de agua drenado,1/3 lata,3.7 miligramos,0.5 miligramos,112.7 miligramos
Atún fresco,30 gramos,2.5 miligramos,0.3 miligramos,11.6 miligramos
Bistec de res,30 gramos,2.7 miligramos,0.5 miligramos,18.0 miligramos
Camarón cocido,34 gramos,13.3 miligramos,1.1 miligramos,76.2 miligramos
Camarón gigante,40 gramos,20.7 miligramos,1.0 miligramos,59.3 miligramos
Cangrejo,42 gramos,37.6 miligramos,0.3 miligramos,123.0 miligramos
Cecina,25 gramos,8.8 miligramos,1.1 miligramos,275.0 miligramos
Charales secos,15 gramos,480.6 miligramos,ND,ND
Chuleta ahumada,34 gramos,3.0 miligramos,0.4 miligramos,456.8 miligramos
Clara de huevo,2 piezas,4.6 miligramos,0.1 miligramos,109.6 miligramos
Filete de pescado,40 gramos,7.1 miligramos,0.1 miligramos,32.4 miligramos
Milanesa de pollo,30 gramos,3.6 miligramos,0.2 miligramos,20.4 miligramos
Milanesa de res,30 gramos,2.7 miligramos,0.5 miligramos,18.0 miligramos
Pechuga de pollo sin piel aplanada,30 gramos,3.9 miligramos,0.3 miligramos,19.5 miligramos
Molida de pollo,30 gramos,3.6 miligramos,0.2 miligramos,20.4 miligramos
Queso mozzarella cero grasa,1 rebanada,26.9 miligramos,0.1 miligramos,208.0 miligramos
Queso cottage,3 cucharadas,32.9 miligramos,0.1 miligramos,195.0 miligramos
Requesón promedio,3 cucharadas,38.6 miligramos,0.2 miligramos,208.0 miligramos