verduras,porción,Fibra,Vitamina C,Hierro NO HEM
acelgas cocidas,1/2 taza,2.1 gramos,17.9 miligramos,1.4 miligramos
betabel crudo,1/4 taza,0.3 gramos,7.8 miligramos,0.6 miligramos
brocoli cocido,1/2 taza,2.7 gramos,68.4 miligramos,0.8 miligramos
cebolla blanca rebanada,1/4 taza (58 gramos),1.0 gramos,4.3 miligramos,0.1 miligramos
Cebolla morada rebanada,1/4 taza (58 gramos),0.7 gramos,6.3 miligramos,0.8 miligramos
calabacita redonda cruda,1 pieza (79 gramos),1.2 gramos,10.3 miligramos,0.4 miligramos
chay0te cocido,1/2 taza,2.2 gramos,6.4 miligramos,0.2 miligramos
chile de arbol seco,4 piezas (7 gramos),2.1 gramos,3.7 miligramos,0.3 miligramos
chile habanero,5 piezas (67 gramos),1.1 gramos,63.2 miligramos,1.6 miligramos
chile jalapeño,6 piezas (78 gramos),2.2 gramos,34.7 miligramos,0.5 miligramos
coliflor cocida,1 taza,2.9 gramos,55.4 miligramos,0.4 miligramos
col cocida picada,1/2 taza,1.4 gramos,28.1 miligramos,0.5 miligramos
espinaca cocida,1/2 taza,3.2 gramos,8.8 miligramos,3.2 miligramos
jicama picada,1/2 taza,2.9 gramos,12.1 miligramos,0.4 miligramos
jitomate,120 gramos,1.4 gramos,14.3 miligramos,0.3 miligramos
tomate,5 piezas (86 gramos),2.1 gramos,1.7 miligramos,0.4 miligramos
jugo de zanahoria,1/4 taza,0.5 gramos,5.0 miligramos,0.3 miligramos
lechuga,3 tazas,2.8 gramos,32.5 miligramos,1.3 miligramos
nopal cocido,1 taza,3.0 gramos,7.9 miligramos,0.7 miligramos
pepino con cascara rebanado,1 taza,0.5 gramos,2.9 miligramos,0.3 miligramos
pimiento fresco,1 taza,1.1 gramos,54.0 miligramos,0.3 miligramos